Supplier;Code;Description;Q;Cost Price;Cost * Q;Sales Pirce;Sales Price * Q
;A1412;SMALL POT WITH COVER GREEN BIRD  P3;1;4;4;10;10
B172;A1420.1N;B172 PLATE F22 H2;10;6;63;22;220
B172;A1420.2N;B172 PLATE F24 H2;9;5;48;26;234
B172;A1424.1N;B172 BOWL 20x10x4;8;5;40;27;216
B172;A1424.2N;B172 BOWL 25x12x4.5;34;14;476;37;1258
B172;A1428N;B172 BOWL 30x21x2;12;11;132;33;396
B172;A1436N;B172 PLACEMAT F39;6;3;18;6;36
B172;A1438N;B172 PLACEMAT F40;226;3;678;11;2486
;;;;;;;
B172;A1442NB;B172 PLACEMAT F38;91;4;364;11;1001
B172;A1534B;B172 LADDER 44x180;1;19;19;55;55
B172;A1534W;B172 LADDER 44x180;5;19;95;55;275
B24;A1538;B24 WOODEN PLATE FOR PIZZA 35x35;19;2;30;36;684
;A1543L;RESIN SHELL NEW L;1;31;31;105;105
;A1543S;RESIN SHELL NEW S;3;23;68;45;135
;A1545;KATOL BLACK METAL;42;7;303;22;924
;A1547;PALUNGANS;1;11;11;65;65
;A1563;FRAME BALI S;101;1;132;4;404
;A1564;FRAME BALI M;159;3;417;8;1272
;A1565;FRAME BALI L;298;4;1174;12;3576
;A1568;LANTERN BLACK PYC;91;5;464;19;1729
;A1579;HOOKS S;200;1;262;4;800
;A1580;HOOKS M;127;2;208;5;635
;A1581;HOOKS L;127;2;292;7;889
P5;A1695;P5 PHOTO FRAME 13x9 METAL 17.5x14;3;5;15;15;45
;A1696;CADRE PHOTO OURS/LAPIN ALU ARG 17X2X17CM A;1;3;3;10;10
;A1738;CADRE MALORAS-DELMAS BOIS BEIGE 35X4X24 P5;5;6;32;25;125
P1;A1953;P1 POT ROUND ROSES 15x20;12;6;74;19;228
;;;;;;;
;A2185;POUBELLE MAD ETAIN BLANC 22X22X23CM  P5;1;5;5;18;18
P5;A2195;P5 VASE GLASS ROUND FOR CHAMPAGNE 22x15x17;1;5;5;30;30
;A2205;PHOTOPHORE CLASSIQUE VERRE CLAIR 30CM  P5;1;5;5;53;53
;A2214;BOUGEOIR VERRE LIGNES ORANGE 7CM  P5;3;0;1;15;45
;A2239;CACHE-POT S/COUPE CER BEIGE S 12X10CM  P5;2;1;2;5;10
;A2242;POULE CHEF CERAMIQUE BLANC S  P5;1;2;2;6;6
P5;A2257;P5 CARAFE FLAT GLASS 23x25;4;4;17;16;64
;A2258;CARAFE VERRE TRANSP 20X21CM  P5;1;3;3;28;28
P5;A2274;P5 SCENTED BAGS LAVENDER 4x3x6;10;1;8;3;30
D9;A2348;D9 SHORT GLASS SORGENTE BLUE;1;1;1;4;4
P4;A2378;P4 TIN SCENTED CANDLE EUCALYPTUS 155gr;6;3;16;5;30
P4;A2380;P4 TIN SCENTED CANDLE PLUMERIA 155gr;4;3;11;5;20
;A2447.1;VASE  SNAKE  WHITE NIGHT;1;3;3;18;18
P1;A2452;P1 POT FLARED BLUE SMALL;3;4;12;18;54
P1;A2455.1PI;P1 POT ROUND ROSES SMALL;2;3;5;8;16
P1;A2455.2PI;P1 POT ROUND ROSES MEDIUM;1;4;4;12;12
P1;A2455.3PI;P1 POT ROUND ROSES 18.5x13.5;2;5;10;16;32
;A2499.1;KASPO TETRAGVNO NIKEL;1;7;7;15;15
;A2499.2;KASPO TETRAGVNO NIKEL;1;7;7;30;30
;;;;;;;
;A2567;DISH SQUARE DIAMOND CER LAVEND 25X25X5CM;3;4;13;18;54
;A2587;VASE BOTTLE + SHELLRING GLASS BL 11X15CM;2;2;4;10;20
I89;A2673.1;I89 LANTERN IRON F9.5 H11;1;3;3;18;18
I89;A2673.2;I89 LANTERN IRON F11 H14;1;3;3;25;25
;A2675;I11 SET OF 5 CUTLERY;44;4;181;12;528
I11;A2675.1F;I11 CUTLERY FORK SMALL;118;0;0;0;0
I11;A2675.1S;I11 CUTLERY SPOON SMALL;78;0;0;0;0
I11;A2675.2F;I11 CUTLERY FORK BIG;74;0;0;0;0
I11;A2675.2S;I11 CUTLERY SPOON BIG;127;0;0;0;0
I11;A2675K;I11 CUTLERY KNIFE;76;0;0;0;0
I17;A2679S;I17 IRON FRAME WITH MIRROR 50x5x60;8;23;181;140;1120
I17;A2683;I17 IRON TRAY;12;23;271;120;1440
I17;A2684;I17 IRON POT;4;20;78;98;392
